poisoning_rate	rate	depth	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop
0.01	20	0.05	0.5555555555555556	98.0	-1.1666666666666714
0.01	20	0.3	0.37037037037037035	98.5	-1.6666666666666714
0.01	20	1.0	2.5925925925925926	98.66666666666667	-1.8333333333333428
0.01	100	0.05	0.0	99.16666666666667	-2.333333333333343
0.01	100	0.3	0.0	98.33333333333333	-1.5
0.01	100	1.0	0.18518518518518517	99.16666666666667	-2.333333333333343
0.01	1000	0.05	3.888888888888889	95.66666666666667	1.1666666666666572
0.01	1000	0.3	12.962962962962964	99.0	-2.1666666666666714
0.01	1000	1.0	99.07407407407408	99.83333333333333	-3.0
0.01	5000	0.05	0.0	98.66666666666667	-1.8333333333333428
0.01	5000	0.3	3.1481481481481484	98.83333333333333	-2.0
0.01	5000	1.0	97.03703703703704	98.83333333333333	-2.0
0.05	20	0.05	0.0	98.33333333333333	-1.5
0.05	20	0.3	90.74074074074075	97.0	-0.1666666666666714
0.05	20	1.0	96.48148148148148	98.16666666666667	-1.3333333333333428
0.05	100	0.05	4.814814814814815	95.0	1.8333333333333286
0.05	100	0.3	0.5555555555555556	98.83333333333333	-2.0
0.05	100	1.0	45.55555555555556	95.5	1.3333333333333286
0.05	1000	0.05	1.2962962962962963	96.83333333333333	0.0
0.05	1000	0.3	95.74074074074075	97.16666666666667	-0.3333333333333428
0.05	1000	1.0	100.0	98.83333333333333	-2.0
0.05	5000	0.05	54.074074074074076	98.33333333333333	-1.5
0.05	5000	0.3	99.44444444444444	97.5	-0.6666666666666714
0.05	5000	1.0	100.0	98.33333333333333	-1.5
0.1	20	0.05	6.481481481481482	93.66666666666667	3.166666666666657
0.1	20	0.3	96.11111111111111	97.0	-0.1666666666666714
0.1	20	1.0	99.81481481481481	99.0	-2.1666666666666714
0.1	100	0.05	1.6666666666666667	98.66666666666667	-1.8333333333333428
0.1	100	0.3	31.666666666666668	88.0	8.833333333333329
0.1	100	1.0	74.25925925925925	98.16666666666667	-1.3333333333333428
0.1	1000	0.05	0.37037037037037035	99.0	-2.1666666666666714
0.1	1000	0.3	72.96296296296296	97.33333333333333	-0.5
0.1	1000	1.0	99.81481481481481	95.83333333333333	1.0
0.1	5000	0.05	99.25925925925925	99.33333333333333	-2.5
0.1	5000	0.3	100.0	96.5	0.3333333333333286
0.1	5000	1.0	100.0	99.5	-2.6666666666666714
