poisoning_rate	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop	decay
0.01	11.333333333333332	98.83333333333333	-0.3333333333333286	75.0
0.01	11.333333333333332	98.16666666666667	0.3333333333333286	150.0
0.01	11.5	97.66666666666667	0.8333333333333286	75.0
0.01	11.5	97.83333333333334	0.6666666666666572	150.0
0.05	21.666666666666668	99.66666666666667	-1.1666666666666714	75.0
0.05	15.166666666666668	98.33333333333333	0.1666666666666714	150.0
0.05	87.0	96.5	2.0	75.0
0.05	49.5	97.5	1.0	150.0
0.1	77.33333333333333	96.66666666666667	1.8333333333333286	75.0
0.1	48.16666666666667	92.0	6.5	150.0
0.1	99.83333333333333	80.33333333333333	18.16666666666667	75.0
0.1	94.5	83.66666666666667	14.833333333333329	150.0
