poisoning_rate	backdoor_success_rate	clean_accuracy_after	clean_accuracy_drop	rate	depth
0.01	11.166666666666666	98.5	0.0	20.0	0.05
0.01	11.166666666666666	99.16666666666667	-0.6666666666666714	20.0	0.3
0.01	11.333333333333332	97.83333333333334	0.6666666666666572	20.0	1.0
0.01	11.166666666666666	96.33333333333334	2.166666666666657	1000.0	0.05
0.01	21.333333333333336	99.0	-0.5	1000.0	0.3
0.01	51.0	99.0	-0.5	1000.0	1.0
0.01	11.333333333333332	97.66666666666667	0.8333333333333286	5000.0	0.05
0.01	11.5	99.33333333333333	-0.8333333333333286	5000.0	0.3
0.01	86.83333333333333	97.83333333333334	0.6666666666666572	5000.0	1.0
0.05	11.333333333333332	98.5	0.0	20.0	0.05
0.05	12.333333333333334	97.83333333333334	0.6666666666666572	20.0	0.3
0.05	82.16666666666667	98.33333333333333	0.1666666666666714	20.0	1.0
0.05	13.0	94.83333333333334	3.666666666666657	1000.0	0.05
0.05	68.5	95.83333333333334	2.666666666666657	1000.0	0.3
0.05	99.83333333333333	88.16666666666667	10.333333333333329	1000.0	1.0
0.05	18.5	86.66666666666667	11.833333333333329	5000.0	0.05
0.05	75.83333333333333	69.33333333333334	29.166666666666657	5000.0	0.3
0.05	100.0	86.83333333333333	11.666666666666671	5000.0	1.0
0.1	24.833333333333332	82.66666666666667	15.833333333333329	20.0	0.05
0.1	92.16666666666666	39.666666666666664	58.833333333333336	20.0	0.3
0.1	100.0	79.66666666666666	18.833333333333343	20.0	1.0
0.1	83.0	24.833333333333332	73.66666666666667	1000.0	0.05
0.1	100.0	11.166666666666666	87.33333333333333	1000.0	0.3
0.1	100.0	14.499999999999998	84.0	1000.0	1.0
0.1	94.0	17.5	81.0	5000.0	0.05
0.1	100.0	11.166666666666666	87.33333333333333	5000.0	0.3
0.1	100.0	11.166666666666666	87.33333333333333	5000.0	1.0
